time_period_start;time_period_end;time_open;time_close;price_open;price_high;price_low;price_close;volume_traded;trades_count
2022-03-11T03:25:00.0000000Z;2022-03-11T03:30:00.0000000Z;2022-03-11T03:25:05.0320000Z;2022-03-11T03:29:55.5920000Z;38385.000000000;38425.000000000;38385.000000000;38418.000000000;95.670735430;308
2022-03-11T03:30:00.0000000Z;2022-03-11T03:35:00.0000000Z;2022-03-11T03:30:00.2150000Z;2022-03-11T03:34:58.2690000Z;38418.000000000;38666.000000000;38415.000000000;38622.000000000;649.880636260;2151
2022-03-11T03:35:00.0000000Z;2022-03-11T03:40:00.0000000Z;2022-03-11T03:35:00.5510000Z;2022-03-11T03:39:52.6760000Z;38621.720869890;38631.158803900;38500.000000000;38548.401284250;5.180805840;113
2022-03-11T03:40:00.0000000Z;2022-03-11T03:45:00.0000000Z;2022-03-11T03:40:00.9600000Z;2022-03-11T03:44:49.6100000Z;38544.000000000;38625.000000000;38534.000000000;38577.000000000;147.437068530;1424
2022-03-11T03:45:00.0000000Z;2022-03-11T03:50:00.0000000Z;2022-03-11T03:45:03.0460000Z;2022-03-11T03:49:56.7720000Z;38568.524926480;38621.000000000;38568.524926480;38611.000000000;56.628187060;279
2022-03-11T03:50:00.0000000Z;2022-03-11T03:55:00.0000000Z;2022-03-11T03:50:02.1150000Z;2022-03-11T03:54:59.3360000Z;38611.000000000;38744.000000000;38587.528174310;38682.000000000;663.003526070;2159
2022-03-11T03:55:00.0000000Z;2022-03-11T04:00:00.0000000Z;2022-03-11T03:55:07.9070000Z;2022-03-11T03:59:44.5620000Z;38682.000000000;38699.000000000;38662.499587330;38699.000000000;153.597839610;658
2022-03-11T04:00:00.0000000Z;2022-03-11T04:05:00.0000000Z;2022-03-11T04:00:00.7510000Z;2022-03-11T04:04:59.3990000Z;38699.000000000;38699.000000000;38564.945739490;38636.000000000;130.073692620;498
2022-03-11T04:05:00.0000000Z;2022-03-11T04:10:00.0000000Z;2022-03-11T04:05:00.5390000Z;2022-03-11T04:09:58.7050000Z;38637.000000000;38647.000000000;38597.000000000;38630.000000000;10.311354890;116
2022-03-11T04:10:00.0000000Z;2022-03-11T04:15:00.0000000Z;2022-03-11T04:10:04.5420000Z;2022-03-11T04:14:40.8960000Z;38637.000000000;38637.895715120;38597.591085730;38609.000000000;0.262924360;36
2022-03-11T04:15:00.0000000Z;2022-03-11T04:20:00.0000000Z;2022-03-11T04:15:00.4690000Z;2022-03-11T04:19:58.8740000Z;38610.472980230;38675.000000000;38605.000000000;38635.000000000;4.427462790;109
2022-03-11T04:20:00.0000000Z;2022-03-11T04:25:00.0000000Z;2022-03-11T04:20:05.9200000Z;2022-03-11T04:24:57.6110000Z;38645.405693150;38655.000000000;38504.000000000;38514.000000000;14.195279070;215
2022-03-11T04:25:00.0000000Z;2022-03-11T04:30:00.0000000Z;2022-03-11T04:25:01.0170000Z;2022-03-11T04:29:52.6940000Z;38514.000000000;38548.395372720;38512.000000000;38538.000000000;3.554708310;46
2022-03-11T04:30:00.0000000Z;2022-03-11T04:35:00.0000000Z;2022-03-11T04:30:12.7090000Z;2022-03-11T04:34:44.8260000Z;38540.000000000;38642.415439800;38540.000000000;38632.000000000;15.431591120;124
2022-03-11T04:35:00.0000000Z;2022-03-11T04:40:00.0000000Z;2022-03-11T04:35:11.0880000Z;2022-03-11T04:39:46.0470000Z;38632.000000000;38651.000000000;38602.000000000;38602.000000000;2.881820710;63
2022-03-11T04:40:00.0000000Z;2022-03-11T04:45:00.0000000Z;2022-03-11T04:40:10.1990000Z;2022-03-11T04:44:56.5630000Z;38602.000000000;38640.000000000;38602.000000000;38632.648362890;1.441204460;45
2022-03-11T04:45:00.0000000Z;2022-03-11T04:50:00.0000000Z;2022-03-11T04:45:21.5430000Z;2022-03-11T04:49:57.0440000Z;38631.000000000;38631.000000000;38466.000000000;38480.000000000;31.249519540;254
2022-03-11T04:50:00.0000000Z;2022-03-11T04:55:00.0000000Z;2022-03-11T04:50:01.7220000Z;2022-03-11T04:54:52.3530000Z;38489.000000000;38543.019794250;38479.000000000;38530.000000000;3.724775170;71
2022-03-11T04:55:00.0000000Z;2022-03-11T05:00:00.0000000Z;2022-03-11T04:55:02.4260000Z;2022-03-11T04:59:54.5380000Z;38527.000000000;38586.828630510;38519.097241330;38519.097241330;3.847494120;76
2022-03-11T05:00:00.0000000Z;2022-03-11T05:05:00.0000000Z;2022-03-11T05:00:00.0550000Z;2022-03-11T05:04:40.5560000Z;38508.093356960;38549.000000000;38446.471604480;38480.000000000;8.533204180;198
2022-03-11T05:05:00.0000000Z;2022-03-11T05:10:00.0000000Z;2022-03-11T05:05:00.1230000Z;2022-03-11T05:09:55.2730000Z;38479.000000000;38553.000000000;38352.000000000;38530.000000000;26.370330880;401
2022-03-11T05:10:00.0000000Z;2022-03-11T05:15:00.0000000Z;2022-03-11T05:10:04.5690000Z;2022-03-11T05:14:56.4600000Z;38530.000000000;38531.000000000;38490.401607400;38507.910005260;3.117686230;65
2022-03-11T05:15:00.0000000Z;2022-03-11T05:20:00.0000000Z;2022-03-11T05:15:07.3510000Z;2022-03-11T05:19:55.1530000Z;38509.000000000;38534.000000000;38437.042471820;38511.841970660;7.314359170;210
2022-03-11T05:20:00.0000000Z;2022-03-11T05:25:00.0000000Z;2022-03-11T05:20:00.8360000Z;2022-03-11T05:24:52.0220000Z;38512.941963290;38615.000000000;38488.000000000;38528.000000000;5.978312840;183
2022-03-11T05:25:00.0000000Z;2022-03-11T05:30:00.0000000Z;2022-03-11T05:25:03.9690000Z;2022-03-11T05:29:56.5790000Z;38538.000000000;38620.000000000;38520.164084070;38596.047465610;3.012681390;131
2022-03-11T05:30:00.0000000Z;2022-03-11T05:35:00.0000000Z;2022-03-11T05:30:01.6370000Z;2022-03-11T05:34:59.8950000Z;38601.000000000;38647.000000000;38601.000000000;38644.000000000;7.848680150;99
2022-03-11T05:35:00.0000000Z;2022-03-11T05:40:00.0000000Z;2022-03-11T05:35:00.4710000Z;2022-03-11T05:39:55.4920000Z;38648.000000000;38743.879878940;38626.807106990;38715.451853620;93.218455690;618
2022-03-11T05:40:00.0000000Z;2022-03-11T05:45:00.0000000Z;2022-03-11T05:40:00.1800000Z;2022-03-11T05:44:58.5350000Z;38716.000000000;38755.000000000;38661.000000000;38700.000000000;115.956805280;1053
2022-03-11T05:45:00.0000000Z;2022-03-11T05:50:00.0000000Z;2022-03-11T05:45:14.1700000Z;2022-03-11T05:49:48.1720000Z;38714.466377080;38714.466377080;38610.000000000;38679.000000000;14.468470610;165
2022-03-11T05:50:00.0000000Z;2022-03-11T05:55:00.0000000Z;2022-03-11T05:50:10.8130000Z;2022-03-11T05:54:48.1600000Z;38678.000000000;38751.485279230;38669.000000000;38723.000000000;4.335546310;153
2022-03-11T05:55:00.0000000Z;2022-03-11T06:00:00.0000000Z;2022-03-11T05:55:10.1020000Z;2022-03-11T05:59:57.2090000Z;38739.000000000;38791.000000000;38724.000000000;38788.000000000;9.060613070;203
2022-03-11T06:00:00.0000000Z;2022-03-11T06:05:00.0000000Z;2022-03-11T06:00:00.0830000Z;2022-03-11T06:04:59.5790000Z;38779.000000000;38779.000000000;38686.587388530;38762.000000000;59.409170400;369
2022-03-11T06:05:00.0000000Z;2022-03-11T06:10:00.0000000Z;2022-03-11T06:05:06.8240000Z;2022-03-11T06:09:31.7610000Z;38760.000000000;38816.000000000;38715.000000000;38759.000000000;14.667566890;270
2022-03-11T06:10:00.0000000Z;2022-03-11T06:15:00.0000000Z;2022-03-11T06:10:00.8150000Z;2022-03-11T06:14:50.1540000Z;38755.000000000;38755.000000000;38690.479465700;38720.012554020;5.665341490;89
2022-03-11T06:15:00.0000000Z;2022-03-11T06:20:00.0000000Z;2022-03-11T06:15:05.4970000Z;2022-03-11T06:19:42.0000000Z;38710.000000000;38757.000000000;38704.480834180;38751.000000000;4.175262290;69
2022-03-11T06:20:00.0000000Z;2022-03-11T06:25:00.0000000Z;2022-03-11T06:20:02.9220000Z;2022-03-11T06:24:53.7220000Z;38750.000000000;38752.000000000;38708.000000000;38740.741555970;2.231469400;67
2022-03-11T06:25:00.0000000Z;2022-03-11T06:30:00.0000000Z;2022-03-11T06:25:15.5070000Z;2022-03-11T06:29:58.5530000Z;38744.196880540;38975.000000000;38744.196880540;38926.000000000;241.771699840;1269
2022-03-11T06:30:00.0000000Z;2022-03-11T06:35:00.0000000Z;2022-03-11T06:30:00.5400000Z;2022-03-11T06:34:52.6740000Z;38925.000000000;38966.512437580;38789.000000000;38793.000000000;23.814422300;351
2022-03-11T06:35:00.0000000Z;2022-03-11T06:40:00.0000000Z;2022-03-11T06:35:17.0380000Z;2022-03-11T06:39:51.8750000Z;38801.000000000;38913.000000000;38801.000000000;38913.000000000;9.843067230;214
2022-03-11T06:40:00.0000000Z;2022-03-11T06:45:00.0000000Z;2022-03-11T06:40:01.3330000Z;2022-03-11T06:44:56.3640000Z;38909.000000000;38954.000000000;38898.435527430;38901.863986150;3.812559850;106
2022-03-11T06:45:00.0000000Z;2022-03-11T06:50:00.0000000Z;2022-03-11T06:45:07.4680000Z;2022-03-11T06:49:41.1630000Z;38898.000000000;38898.000000000;38836.000000000;38870.000000000;4.425842820;68
2022-03-11T06:50:00.0000000Z;2022-03-11T06:55:00.0000000Z;2022-03-11T06:50:06.1400000Z;2022-03-11T06:54:58.2170000Z;38872.204437700;38872.204437700;38820.000000000;38862.000000000;5.768895610;76
2022-03-11T06:55:00.0000000Z;2022-03-11T07:00:00.0000000Z;2022-03-11T06:55:11.4560000Z;2022-03-11T06:59:58.0010000Z;38865.000000000;39000.000000000;38865.000000000;38955.752601820;3.493812880;150
2022-03-11T07:00:00.0000000Z;2022-03-11T07:05:00.0000000Z;2022-03-11T07:00:11.4890000Z;2022-03-11T07:04:59.8210000Z;38953.000000000;39182.000000000;38917.000000000;39160.000000000;36.433339060;697
2022-03-11T07:05:00.0000000Z;2022-03-11T07:10:00.0000000Z;2022-03-11T07:05:00.2530000Z;2022-03-11T07:09:59.9070000Z;39162.000000000;39225.000000000;39127.000000000;39138.000000000;49.116003700;380
2022-03-11T07:10:00.0000000Z;2022-03-11T07:15:00.0000000Z;2022-03-11T07:10:00.3120000Z;2022-03-11T07:14:37.4150000Z;39132.000000000;39167.000000000;39068.000000000;39068.000000000;17.397236570;97
2022-03-11T07:15:00.0000000Z;2022-03-11T07:20:00.0000000Z;2022-03-11T07:15:05.7720000Z;2022-03-11T07:19:58.6470000Z;39072.000000000;39102.000000000;39011.000000000;39015.000000000;9.086757400;108
2022-03-11T07:20:00.0000000Z;2022-03-11T07:25:00.0000000Z;2022-03-11T07:20:04.1070000Z;2022-03-11T07:24:54.7590000Z;39008.963589100;39108.861873590;38991.000000000;39106.434042700;5.153799910;130
2022-03-11T07:25:00.0000000Z;2022-03-11T07:30:00.0000000Z;2022-03-11T07:25:01.4150000Z;2022-03-11T07:29:54.7180000Z;39106.000000000;39247.000000000;39106.000000000;39216.755332170;26.860742990;281
2022-03-11T07:30:00.0000000Z;2022-03-11T07:35:00.0000000Z;2022-03-11T07:30:12.0480000Z;2022-03-11T07:34:59.4010000Z;39215.664717010;39215.664717010;39131.008399670;39200.340280730;16.181751090;231
2022-03-11T07:35:00.0000000Z;2022-03-11T07:40:00.0000000Z;2022-03-11T07:35:07.5170000Z;2022-03-11T07:39:59.6140000Z;39199.000000000;39199.000000000;39123.000000000;39198.000000000;6.012521810;117
2022-03-11T07:40:00.0000000Z;2022-03-11T07:45:00.0000000Z;2022-03-11T07:40:05.6890000Z;2022-03-11T07:44:58.1950000Z;39198.257464080;39334.000000000;39154.000000000;39199.000000000;50.220732740;510
2022-03-11T07:45:00.0000000Z;2022-03-11T07:50:00.0000000Z;2022-03-11T07:45:08.2190000Z;2022-03-11T07:49:48.2750000Z;39194.000000000;39194.000000000;39114.000000000;39170.292818580;4.197580280;89
