exchange_id,website,name,data_start,data_end,data_quote_start,data_quote_end,data_symbols_count,volume_1hrs_usd,volume_1day_usd,volume_1mth_usd
COINEGG,https://www.coinegg.com/,COINEGG,2019-04-08,2022-03-21,2019-04-08T15:19:03.6052763Z,2022-03-21T06:14:15.3601862Z,407,0,0,0
CRYPTOLOGY,https://cryptology.com/,Cryptology,2019-10-01,2022-03-21,2019-10-01T17:23:08.0259193Z,2022-03-21T06:15:38.2306362Z,83,1059320.44,36662760.08,1193956338.79
IDEXETH,https://idex.io/,IDEX ETH,2021-05-21,2021-11-29,2021-05-21T16:52:45.1170000Z,2021-11-29T19:35:23.4490000Z,161,0,0,0
BTCALPHA,https://btc-alpha.com/,BTC-Alpha,2018-02-27,2022-03-21,2018-02-27T00:50:55.7520000Z,2022-03-21T05:52:13.9060000Z,321,275927.62,10097127.53,470500680.8
NERAEXPRO,https://neraex.pro/,Neraex,2019-10-01,2019-11-26,2019-10-01T17:26:58.6632937Z,2019-11-26T10:07:52.1875815Z,17,0,0,0
COINLIM,https://www.coinlim.com/,Coinlim,2019-10-01,2020-06-23,2019-10-01T17:21:49.2472129Z,2020-06-23T10:00:04.7006628Z,111,0,0,0
COINJAR,https://www.coinjar.com/,CoinJar,2019-04-08,2022-03-21,2019-04-08T15:33:59.7240510Z,2022-03-21T06:15:20.2964028Z,127,0,0,0
BITPANDAPRO,https://www.bitpanda.com/en/pro,Bitpanda Pro,2020-05-05,2022-03-21,2020-05-05T13:00:48.1306613Z,2022-03-21T06:14:29.2992848Z,38,272398.6,4057402.39,202829650.43
PROBIT,https://www.probit.com,ProBit Exchange,2020-01-01,2022-03-20,2020-01-01T02:45:08.1321816Z,2022-03-20T19:54:20.0412434Z,1659,0,0,0
BITKUB,https://www.bitkub.com/,Bitkub,2019-04-16,2022-03-21,2019-04-16T18:32:57.0850620Z,2022-03-21T06:15:35.5078602Z,70,65320244.07,1013391797.81,52482889473.88
LATOKEN,https://latoken.com/,LATOKEN,2018-01-05,2022-03-21,2019-10-01T17:26:06.1223999Z,2022-03-21T06:15:33.5286696Z,2745,1881939405.7,47549061828.08,1499477927503.57
NOVADAX,http://www.novadax.com.br/,NovaDAX,2020-05-05,2022-03-21,2020-05-05T00:00:00.7917541Z,2022-03-21T06:15:21.3781735Z,229,139420.68,10042723.73,2900735972.68
CCXCANADA,https://ccxcanada.com/,CCXCanada,2019-03-18,2020-07-07,2020-01-01T02:33:37.1235218Z,2020-07-07T00:04:48.4735258Z,40,0,0,0
EXRATES,https://exrates.me/,Exrates,2019-10-01,2022-03-18,2019-10-01T17:41:26.5496979Z,2022-03-18T08:24:15.9583261Z,852,0,0,207201917.87
NOCKS,https://nocks.com/,Nocks,2019-04-06,2020-05-20,2019-04-08T15:28:53.9561591Z,2020-05-20T21:56:30.3136466Z,1,0,0,0
CATEX,https://www.catex.io/,Cat.Ex,2019-07-13,2022-03-21,2019-10-01T17:21:04.4309552Z,2022-03-21T06:15:16.9554723Z,421,16939413.87,4226810131.09,114601917431.39
CRYPTOBRIDGE,https://crypto-bridge.org/,CryptoBridge,2019-04-08,2019-12-15,2019-04-08T15:50:11.1032719Z,2019-12-15T23:59:19.6170348Z,605,0,0,0
COINHUB,https://coinhub.io/,Coinhub,2018-11-29,2020-09-09,2019-04-18T12:50:27.9351772Z,2020-09-09T21:11:33.1786992Z,36,0,0,0
LUKKI,https://lukki.io/,Lukki Exchange,2020-05-05,2021-04-02,-,-,122,0,0,0
BITSTORAGE,https://bitstorage.finance/,BITStorage,2020-05-05,2022-03-21,2020-05-05T16:55:33.1626651Z,2022-03-21T06:12:29.4632845Z,47,5100311.9,121443259.87,545518439.13
IDEXBSC,https://idex.io/,IDEX BSC,2021-06-22,2021-11-27,2021-06-22T10:58:01.4630000Z,2021-11-27T01:05:31.5990017Z,115,0,0,0
COINSBIT,https://coinsbit.io/,Coinsbit,2019-10-01,2022-03-21,2019-10-01T15:06:47.0737928Z,2022-03-21T06:15:36.8200262Z,1683,19227851.51,373140203.03,348397509276.82
HUOBIFTS,https://futures.huobi.com/,Huobi Futures,2021-04-19,2022-03-21,2021-04-19T10:42:01.7393191Z,2022-03-21T06:15:29.8738734Z,1047,24918669047.67,1041695511663.65,54648777260848.39
